"MSSV","Tin học","Nhập môn Công nghệ thông tin","Pháp luật","Giáo dục quốc phòng","Kỹ năng học tập","Giáo dục thể chất - Vovinam","Tiếng Anh 1.1","Tiếng Anh 1.2","Tiếng Anh 2.1","Tiếng Anh 2.2","Nhập môn lập trình","Xây dựng trang Web","Cơ sở dữ liệu","Lập trình PHP cơ bản","Lập trình cơ sở với JavaScript","Chính trị","Thiết kế Web với HTML5 & CSS3","Dự án mẫu (TKTW)","Lập trình PHP 1","Thiết kế UI/UX","Kỹ năng phát triển bản thân","Lập trình Javascript nâng cao","Quản trị website","Lập trình ECMAScript","Dự án 1 (TKTW)","Marketing trên Internet","NodeJS & Restful Web Service","Lập trình TypeScript","Lập trình Front-End Framework 1","Lập trình Front-End Framework 2","Khởi sự doanh nghiệp","Kỹ năng làm việc","Thực tập tốt nghiệp (TKTW)","Dự án tốt nghiệp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PC07988","9.9","6.7","6.7","7.7","","7.2","6.6","4.9","","","7.4","8.8","7.2","","8.9","8.3","9.0","8.5","6.4","7.0","7.0","1.0","6.0","6.0","5.9","6.2","","1.9","","0.2","0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PC08158","1.0","8.4","6.5","6.8","8.9","7.3","8.6","7.1","5.9","6.9","9.3","7.9","8.2","6.6","7.7","8.3","6.4","8.0","6.0","7.2","6.9","6.0","6.9","","6.8","7.4","","","","","6.2","7.7","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PD10390","1.0","9.8","1.0","7.4","8.8","8.0","9.0","8.5","9.1","8.9","8.1","9.3","9.5","8.6","9.8","1.0","1.0","9.7","8.1","9.6","8.9","1.0","8.5","","8.6","9.8","","","","","7.2","6.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI00278","7.5","7.6","7.2","5.8","7.7","6.9","5.8","5.7","","","6.5","7.0","6.9","6.4","7.8","9.0","5.0","4.2","5.6","5.7","5.0","5.1","2.4","5.1","5.3","5.9","","1.5","1.4","","6.5","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PK03392","5.6","7.2","5.8","7.8","6.8","6.4","6.7","6.8","6.1","","7.8","6.5","6.3","","7.4","7.5","9.0","","1.2","7.1","","5.4","2.6","","2.9","6.9","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PK04272","1.0","8.5","6.5","6.4","6.5","","5.6","6.0","","","5.2","6.5","6.3","4.2","3.1","8.8","7.0","8.2","2.5","7.0","5.6","5.5","0.4","6.0","","0.5","1.9","3.1","0.6","3.1","","0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS13847","6.1","","7.3","5.5","6.8","5.7","9.2","7.8","8.6","8.4","7.3","6.4","5.6","","7.5","7.3","8.4","6.2","6.8","","","7.3","7.3","","6.4","7.6","","","","","6.5","6.4","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS23116","7.0","8.6","6.3","6.8","7.5","7.0","7.2","6.8","6.5","7.1","8.2","7.7","7.0","","7.1","8.2","8.3","7.7","5.6","4.4","","6.0","6.8","7.6","7.1","5.8","6.2","7.7","6.6","7.1","6.0","","","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS23321","8.1","8.7","5.8","5.5","7.2","7.0","9.3","7.9","9.1","8.8","6.9","7.1","8.5","","8.3","7.7","7.2","7.0","7.5","","","5.4","8.1","8.3","8.1","8.8","6.2","7.4","7.1","7.0","7.0","","1.0","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS24674","8.1","8.2","6.8","6.7","7.3","7.2","8.9","8.6","9.2","7.8","7.6","8.7","6.8","","8.5","9.2","7.7","6.4","5.4","","","7.0","7.4","","5.3","7.5","","","","","6.7","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS26902","7.4","","8.0","6.3","8.6","","7.8","","","","6.2","7.4","7.0","","6.6","9.7","6.4","6.0","6.6","8.0","","5.1","7.2","5.7","5.3","7.3","6.6","","5.1","5.8","7.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS26986","9.2","8.4","7.8","5.8","7.9","7.1","8.7","8.4","8.0","8.1","7.8","8.0","6.3","","6.7","9.3","7.7","8.5","7.2","7.0","","9.5","7.4","5.8","6.5","6.5","6.1","7.0","5.5","5.8","7.7","","1.0","7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27099","9.5","","7.2","7.2","7.1","7.3","7.2","7.4","6.4","6.9","7.1","6.9","7.9","","6.6","8.5","6.9","8.0","6.5","7.4","","5.9","5.9","","5.0","6.8","","","","","8.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27463","9.0","","6.7","7.7","7.0","7.1","6.0","5.0","6.7","","6.5","6.6","7.6","","7.4","8.8","5.6","0.8","5.8","7.9","","6.0","7.0","1.5","4.5","6.7","1.4","0.6","3.6","","8.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27468","1.0","","7.0","7.0","7.8","7.5","9.3","9.0","8.1","6.8","7.7","4.3","","","7.3","9.3","5.7","7.2","5.6","5.5","","5.9","1.0","","5.0","7.7","","","","","9.6","","","","-","-","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27623","9.9","","7.5","6.3","6.6","7.5","7.9","8.3","7.2","7.5","8.0","7.7","8.5","","7.9","8.5","6.6","8.0","7.8","7.9","","7.5","6.3","","7.9","7.1","","","","","7.7","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27660","9.3","","8.7","7.3","7.1","7.7","7.4","6.5","7.1","7.4","7.1","7.4","8.7","","7.3","9.2","7.5","5.4","7.3","5.9","","7.0","5.2","","5.7","9.4","","","","","9.3","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27839","8.8","9.2","6.8","5.3","9.2","7.8","","","8.3","7.4","6.6","5.8","6.5","7.1","6.5","9.0","5.5","9.5","6.2","6.7","7.3","6.0","5.5","6.1","5.8","6.3","5.8","7.5","6.9","6.8","6.8","7.4","1.0","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27880","7.5","","8.3","6.5","7.1","7.4","6.3","6.0","7.0","6.5","5.8","6.4","6.4","","6.3","9.0","5.8","5.4","6.2","6.4","","6.0","6.3","5.8","6.0","6.4","5.7","6.2","6.6","6.8","9.3","","1.0","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS27883","1.0","","8.0","6.5","8.5","8.0","7.9","7.4","7.3","7.5","8.1","7.1","8.3","","6.7","7.2","6.9","8.3","6.9","6.2","","8.5","6.8","","5.6","6.2","","","","","9.0","","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PS28128","9.6","","7.0","6.0","7.8","7.0","7.1","7.8","5.7","7.6","8.4","8.0","6.3","","6.1","8.5","9.1","7.0","6.9","7.1","","6.0","6.4","6.7","5.9","8.5","6.7","5.8","7.0","7.2","7.7","","1.0","3.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
